,date,close
559,2016-05-04,674.0
560,2016-05-05,676.49
561,2016-05-06,676.95
562,2016-05-09,686.98
563,2016-05-10,704.55
564,2016-05-11,719.0
565,2016-05-12,722.45
566,2016-05-13,719.25
567,2016-05-16,713.25
568,2016-05-17,714.47
569,2016-05-18,702.54
570,2016-05-19,699.4
571,2016-05-20,707.24
572,2016-05-23,706.0
573,2016-05-24,707.5
574,2016-05-25,710.86
575,2016-05-26,715.0
576,2016-05-27,716.6
577,2016-05-31,724.23
578,2016-06-01,726.43
579,2016-06-02,728.28
580,2016-06-03,727.0
581,2016-06-06,731.5
582,2016-06-07,730.0
583,2016-06-08,729.42
584,2016-06-09,728.91
585,2016-06-10,724.98
586,2016-06-13,721.99
587,2016-06-14,720.805
588,2016-06-15,722.56
589,2016-06-16,718.0
590,2016-06-17,718.2
591,2016-06-20,721.31
592,2016-06-21,718.4
593,2016-06-22,717.0
594,2016-06-23,722.12
595,2016-06-24,712.529
596,2016-06-27,696.819
597,2016-06-28,708.0
598,2016-06-29,719.5
599,2016-06-30,719.37
600,2016-07-01,728.0
601,2016-07-05,728.11
602,2016-07-06,737.77
603,2016-07-07,739.55
604,2016-07-08,746.1
605,2016-07-11,755.9
606,2016-07-12,757.34
607,2016-07-13,756.87
608,2016-07-14,749.04
609,2016-07-15,746.55
610,2016-07-18,741.595
611,2016-07-19,743.33
612,2016-07-20,746.25
613,2016-07-21,749.36
614,2016-07-22,751.28
615,2016-07-25,748.5
616,2016-07-26,743.13
617,2016-07-27,740.94
618,2016-07-28,753.36
619,2016-07-29,766.0
620,2016-08-01,770.5
621,2016-08-02,765.01
622,2016-08-03,758.89
623,2016-08-04,765.0
624,2016-08-05,768.47
625,2016-08-08,767.0
626,2016-08-09,772.6
627,2016-08-10,772.1
628,2016-08-11,773.75
629,2016-08-12,773.15
630,2016-08-15,772.04
631,2016-08-16,768.732
632,2016-08-17,765.22
633,2016-08-18,765.17
634,2016-08-19,762.49
635,2016-08-22,759.85
636,2016-08-23,764.7
637,2016-08-24,763.41
638,2016-08-25,760.56
639,2016-08-26,770.0
640,2016-08-29,774.98
641,2016-08-30,771.836
642,2016-08-31,769.64
643,2016-09-01,772.04
644,2016-09-02,776.0
645,2016-09-06,789.48
646,2016-09-07,790.79
647,2016-09-08,786.5
648,2016-09-09,781.0
649,2016-09-12,772.66
650,2016-09-13,769.89
651,2016-09-14,767.5
652,2016-09-15,770.87
653,2016-09-16,780.46
654,2016-09-19,781.94
655,2016-09-20,781.37
656,2016-09-21,790.69
657,2016-09-22,805.889
658,2016-09-23,807.75
659,2016-09-26,805.93
660,2016-09-27,816.64
661,2016-09-28,830.14
662,2016-09-29,837.5
663,2016-09-30,839.95
664,2016-10-03,839.86
665,2016-10-04,842.365
666,2016-10-05,845.67
667,2016-10-06,847.21
668,2016-10-07,845.95
669,2016-10-10,845.2
670,2016-10-11,841.29
671,2016-10-12,837.666
672,2016-10-13,831.8
673,2016-10-14,835.74
674,2016-10-17,822.0
675,2016-10-18,823.26
676,2016-10-19,820.67
677,2016-10-20,815.71
678,2016-10-21,819.42
679,2016-10-24,838.3
680,2016-10-25,843.09
681,2016-10-26,833.44
682,2016-10-27,831.72
683,2016-10-28,789.49
684,2016-10-31,793.7
685,2016-11-01,800.84
686,2016-11-02,784.75
687,2016-11-03,777.0
688,2016-11-04,766.0
689,2016-11-07,787.732
690,2016-11-08,791.74
691,2016-11-09,777.5
692,2016-11-10,778.83
693,2016-11-11,743.26
694,2016-11-14,746.0
695,2016-11-15,746.78
696,2016-11-16,749.87
697,2016-11-17,757.5
698,2016-11-18,767.74
699,2016-11-21,780.35
700,2016-11-22,792.4
701,2016-11-23,781.75
702,2016-11-25,786.75
703,2016-11-28,777.0
704,2016-11-29,769.89
705,2016-11-30,768.09
706,2016-12-01,753.37
707,2016-12-02,748.49
708,2016-12-05,761.49
709,2016-12-06,768.24
710,2016-12-07,770.42
711,2016-12-08,773.79
712,2016-12-09,770.25
713,2016-12-12,766.89
714,2016-12-13,782.46
715,2016-12-14,780.86
716,2016-12-15,769.1
717,2016-12-16,765.13
718,2016-12-19,770.5
719,2016-12-20,774.39
720,2016-12-21,771.22
721,2016-12-22,771.21
722,2016-12-23,766.5
723,2016-12-27,774.65
724,2016-12-28,780.0
725,2016-12-29,773.4
726,2016-12-30,767.4
727,2017-01-03,758.76
728,2017-01-04,759.68
729,2017-01-05,782.4
730,2017-01-06,799.44
731,2017-01-09,801.774
732,2017-01-10,798.0
733,2017-01-11,799.5
734,2017-01-12,814.13
735,2017-01-13,821.65
736,2017-01-17,816.0
737,2017-01-18,811.73
738,2017-01-19,813.51
739,2017-01-20,816.02
740,2017-01-23,818.5
741,2017-01-24,823.99
742,2017-01-25,837.418
743,2017-01-26,843.84
744,2017-01-27,839.7
745,2017-01-30,833.5
746,2017-01-31,826.99
747,2017-02-01,833.78
748,2017-02-02,842.49
749,2017-02-03,818.3
750,2017-02-06,810.72
751,2017-02-07,816.16
752,2017-02-08,821.479
753,2017-02-09,825.0
754,2017-02-10,828.0
755,2017-02-13,843.0
756,2017-02-14,838.31
757,2017-02-15,842.81
758,2017-02-16,845.0
759,2017-02-17,847.27
760,2017-02-21,857.98
761,2017-02-22,858.43
762,2017-02-23,860.86
763,2017-02-24,845.81
764,2017-02-27,852.5
765,2017-02-28,854.09
766,2017-03-01,854.83
767,2017-03-02,854.82
768,2017-03-03,851.985
769,2017-03-06,848.49
770,2017-03-07,848.46
771,2017-03-08,853.07
772,2017-03-09,856.4
773,2017-03-10,857.35
774,2017-03-13,855.69
775,2017-03-14,853.75
776,2017-03-15,854.45
777,2017-03-16,855.5
778,2017-03-17,853.83
779,2017-03-20,857.8
780,2017-03-21,862.795
781,2017-03-22,849.37
782,2017-03-23,850.89
783,2017-03-24,851.8
784,2017-03-27,850.3
